name;country;facebook_url;instagram_url;twitter_url;website_url;wiki_url;bio;photo
The Beatles;England;https://www.facebook.com/thebeatles;https://www.instagram.com/thebeatles;https://twitter.com/thebeatles;https://www.thebeatles.com/;https://en.wikipedia.org/wiki/The_Beatles;"The Beatles were an English rock band formed in Liverpool in 1960. With members John Lennon, Paul McCartney, George Harrison and Ringo Starr, they became widely regarded as the foremost and most influential music band. Rooted in skiffle, beat and 1950s rock and roll, the Beatles later experimented with several musical styles, ranging from pop ballads and Indian music to psychedelia and hard rock, often incorporating classical elements and unconventional recording techniques in innovative ways. In 1963 their enormous popularity first emerged as ""Beatlemania""; as the group's music grew in sophistication, led by primary songwriters Lennon and McCartney, the band were integral to pop music's evolution into an art form and to the development of the counterculture of the 1960s";the-beatles.jpg
Bob Dylan;American;;;;;;;
The Clash;England;;;;;;;
The Beatles;England;;;;;;;
Nirvana;American;;;;;;;
The Beach Boys;American;;;;;;;
The Velvet Underground;American;;;;;;;
The Doors;American;;;;;;;
Led Zeppelin;England;;;;;;;
David Bowie;England;;;;;;;
Jimi Hendrix;;;;;;;;
The Beatles;;;;;;;;
The Rolling Stones;;;;;;;;
Pink Floyd;;;;;;;;
Radiohead;;;;;;;;
The Sex Pistols;;;;;;;;
The Who;;;;;;;;
Michael Jackson;;;;;;;;
U2;;;;;;;;
Marvin Gaye;;;;;;;;
The Beatles;;;;;;;;
Bob Dylan;;;;;;;;
Ramones;;;;;;;;
Neil Young;;;;;;;;
The Rolling Stones;;;;;;;;
Guns N' Roses;;;;;;;;
Janis Joplin;;;;;;;;
The Stooges;;;;;;;;
Pixies;;;;;;;;
James Brown;;;;;;;;
The Rolling Stones;;;;;;;;
John Lennon;;;;;;;;
The Smiths;;;;;;;;
Elvis Presley;;;;;;;;
The Beatles;;;;;;;;
Joy Division;;;;;;;;
Bob Marley;;;;;;;;
Bruce Springsteen;;;;;;;;
The White Stripes;;;;;;;;
Bob Dylan;;;;;;;;
Love;;;;;;;;
Stevie Wonder;;;;;;;;
Johnny Cash;;;;;;;;
The Band;;;;;;;;
Prince;;;;;;;;
Pink Floyd;;;;;;;;
AC/DC;;;;;;;;
The Zombies;;;;;;;;
Jimi Hendrix;;;;;;;;
Lou Reed;;;;;;;;
David Bowie;;;;;;;;
Led Zeppelin;;;;;;;;
The Rolling Stones;;;;;;;;
Van Morrison;;;;;;;;
Patty Smith;;;;;;;;
Television;;;;;;;;
The Stone Roses;;;;;;;;
Fleetwood Mac;;;;;;;;
Radiohead;;;;;;;;
Talking Heads;;;;;;;;
Pearl Jam;;;;;;;;
The Cure;;;;;;;;
Metallica;;;;;;;;
Captain Beefheart;;;;;;;;
Queen;;;;;;;;
REM;;;;;;;;
Pink Floyd;;;;;;;;
Little Richard;;;;;;;;
Oasis;;;;;;;;
The Allman Brothers Band;;;;;;;;
The Doors;;;;;;;;
Bob Dylan;;;;;;;;
The Stooges;;;;;;;;
Sonic Youth;;;;;;;;
Nirvana;;;;;;;;
Weezer;;;;;;;;
Public Enemy;;;;;;;;
The Strokes;;;;;;;;
Jeff Buckley;;;;;;;;
Rage against the machine;;;;;;;;
Black Sabbath;;;;;;;;
Arcade Fire;;;;;;;;
My Bloody Valentine;;;;;;;;
King Crimson;;;;;;;;
Eminem;;;;;;;;
Joni Mitchell;;;;;;;;
Kanye West;;;;;;;;
The Smashing Pumpkins;;;;;;;;
Pink Floyd;;;;;;;;
Red Hot Chili Peppers;;;;;;;;
The Who;;;;;;;;
Muse;;;;;;;;
Bob Dylan;;;;;;;;
Portishead;;;;;;;;
Blur;;;;;;;;
Primal Scream;;;;;;;;
Simon and Garfunkel;;;;;;;;
Beastie Boys;;;;;;;;
Cream;;;;;;;;
Elton John;;;;;;;;
the Beatles;;;;;;;;
Frank Zappa;;;;;;;;
Coldplay;;;;;;;;
Depeche Mode;;;;;;;;
Nick Drake;;;;;;;;
Derek and the Dominos;;;;;;;;
Jefferson Airplane;;;;;;;;
Leonard Cohen;;;;;;;;
Bluesbreakers;;;;;;;;
De La Soul;;;;;;;;
REM;;;;;;;;
Chuck Berry;;;;;;;;
Tom Waits;;;;;;;;
The Flaming Lips;;;;;;;;
The Verve;;;;;;;;
Wu-Tang Clan;;;;;;;;
Beck;;;;;;;;
Dj Shadow;;;;;;;;
The Kinks;;;;;;;;
The Police;;;;;;;;
Iron Maiden;;;;;;;;
Dr. Dre;;;;;;;;
Wilco;;;;;;;;
The Libertines;;;;;;;;
U2;;;;;;;;
Franz Ferdinand;;;;;;;;
