album;tracklist_order;name;duration
Sgt. Pepper's Lonely Hearts Club Band;1;Sgt. Pepper's Lonely Hearts Club Band;02:02
Sgt. Pepper's Lonely Hearts Club Band;2;With a Little Help from My Friends;02:43
Sgt. Pepper's Lonely Hearts Club Band;3;Lucy in the Sky with Diamonds;03:27
Sgt. Pepper's Lonely Hearts Club Band;4;Getting Better;02:47
Sgt. Pepper's Lonely Hearts Club Band;5;Fixing a Hole;02:36
Sgt. Pepper's Lonely Hearts Club Band;6;She's Leaving Home;03:34
Sgt. Pepper's Lonely Hearts Club Band;7;Being for the Benefit of Mr. Kite!;02:37
Sgt. Pepper's Lonely Hearts Club Band;8;Within You Without You (George Harrison);05:05
Sgt. Pepper's Lonely Hearts Club Band;9;When I'm Sixty-Four;02:37
Sgt. Pepper's Lonely Hearts Club Band;10;Lovely Rita;02:41
Sgt. Pepper's Lonely Hearts Club Band;11;Good Morning Good Morning;02:40
Sgt. Pepper's Lonely Hearts Club Band;12;Sgt. Pepper's Lonely Hearts Club Band (Reprise);01:18
Sgt. Pepper's Lonely Hearts Club Band;13;A Day in the Life;05:33
Highway 61 Revisited;1;Like a Rolling Stone;06:13
Highway 61 Revisited;2;Tombstone Blues;06:00
Highway 61 Revisited;3;It Takes a Lot to Laugh, It Takes a Train to Cry;04:09
Highway 61 Revisited;4;From a Buick 6;03:19
Highway 61 Revisited;5;Ballad of a Thin Man;05:58
Highway 61 Revisited;6;Queen Jane Approximately;05:31
Highway 61 Revisited;7;Highway 61 Revisited;03:30
Highway 61 Revisited;8;Just Like Tom Thumb's Blues;05:32
Highway 61 Revisited;9;Desolation Row;11:21
